  0.3435E+01  0.4646E+01 -0.4324E+01  0.1674E+01 -0.1150E+02 -0.1029E+02
  0.3615E+01  0.4901E+01 -0.4204E+01  0.1587E+01 -0.1129E+02 -0.1003E+02
  0.3857E+01  0.5155E+01 -0.4040E+01  0.1491E+01 -0.1108E+02 -0.9778E+01
  0.4167E+01  0.5438E+01 -0.3832E+01  0.1387E+01 -0.1077E+02 -0.9495E+01
  0.4507E+01  0.5699E+01 -0.3573E+01  0.1273E+01 -0.1042E+02 -0.9234E+01
  0.4919E+01  0.5972E+01 -0.3252E+01  0.1149E+01 -0.1001E+02 -0.8959E+01
  0.5550E+01  0.6348E+01 -0.2799E+01  0.1000E+01 -0.9382E+01 -0.8586E+01
 -0.7844E+01 -0.1671E+02 -0.3283E+01  0.9206E+00 -0.2275E+02 -0.3161E+02
 -0.4465E+01 -0.1293E+02 -0.3185E+01  0.9140E+00 -0.1940E+02 -0.2787E+02
 -0.1612E+01 -0.9650E+01 -0.3076E+01  0.9074E+00 -0.1646E+02 -0.2450E+02
  0.7638E+00 -0.6944E+01 -0.2971E+01  0.9051E+00 -0.1408E+02 -0.2176E+02
  0.2917E+01 -0.4475E+01 -0.2870E+01  0.9045E+00 -0.1193E+02 -0.1932E+02
  0.4607E+01 -0.2505E+01 -0.2774E+01  0.9079E+00 -0.1022E+02 -0.1733E+02
  0.6029E+01 -0.8416E+00 -0.2682E+01  0.9118E+00 -0.8800E+01 -0.1568E+02
  0.7170E+01  0.5320E+00 -0.2596E+01  0.9207E+00 -0.7698E+01 -0.1434E+02
  0.8066E+01  0.1618E+01 -0.2516E+01  0.9328E+00 -0.6842E+01 -0.1329E+02
  0.8756E+01  0.2480E+01 -0.2439E+01  0.9452E+00 -0.6161E+01 -0.1244E+02
  0.9273E+01  0.3165E+01 -0.2378E+01  0.9653E+00 -0.5659E+01 -0.1177E+02
  0.9641E+01  0.3676E+01 -0.2319E+01  0.9881E+00 -0.5246E+01 -0.1124E+02
  0.9873E+01  0.4045E+01 -0.2260E+01  0.1011E+01 -0.5059E+01 -0.1089E+02
  0.9959E+01  0.4252E+01 -0.2223E+01  0.1039E+01 -0.4966E+01 -0.1067E+02
  0.9961E+01  0.4363E+01 -0.2194E+01  0.1072E+01 -0.4966E+01 -0.1056E+02
  0.9874E+01  0.4386E+01 -0.2179E+01  0.1106E+01 -0.5046E+01 -0.1053E+02
  0.9767E+01  0.4382E+01 -0.2165E+01  0.1146E+01 -0.5164E+01 -0.1055E+02
  0.9565E+01  0.4278E+01 -0.2155E+01  0.1184E+01 -0.5362E+01 -0.1065E+02
  0.9329E+01  0.4125E+01 -0.2169E+01  0.1230E+01 -0.5592E+01 -0.1078E+02
  0.9051E+01  0.3972E+01 -0.2192E+01  0.1279E+01 -0.5879E+01 -0.1096E+02
  0.8740E+01  0.3776E+01 -0.2235E+01  0.1334E+01 -0.6194E+01 -0.1116E+02
  0.8485E+01  0.3568E+01 -0.2279E+01  0.1385E+01 -0.6523E+01 -0.1136E+02
  0.8059E+01  0.3356E+01 -0.2344E+01  0.1440E+01 -0.6874E+01 -0.1158E+02
  0.7677E+01  0.3148E+01 -0.2421E+01  0.1500E+01 -0.7228E+01 -0.1178E+02
  0.7326E+01  0.2950E+01 -0.2511E+01  0.1559E+01 -0.7607E+01 -0.1198E+02
  0.6974E+01  0.2792E+01 -0.2621E+01  0.1623E+01 -0.7959E+01 -0.1214E+02
  0.6599E+01  0.2635E+01 -0.2729E+01  0.1677E+01 -0.8334E+01 -0.1230E+02
  0.6213E+01  0.2497E+01 -0.2860E+01  0.1737E+01 -0.8643E+01 -0.1236E+02
  0.5842E+01  0.2402E+01 -0.3004E+01  0.1797E+01 -0.9090E+01 -0.1253E+02
  0.5489E+01  0.2342E+01 -0.3151E+01  0.1850E+01 -0.9444E+01 -0.1259E+02
  0.5133E+01  0.2317E+01 -0.3323E+01  0.1907E+01 -0.9800E+01 -0.1261E+02
  0.4793E+01  0.2332E+01 -0.3492E+01  0.1956E+01 -0.1014E+02 -0.1260E+02
  0.4477E+01  0.2393E+01 -0.3661E+01  0.1997E+01 -0.1046E+02 -0.1254E+02
  0.4195E+01  0.2509E+01 -0.3833E+01  0.2031E+01 -0.1074E+02 -0.1242E+02
  0.3924E+01  0.2647E+01 -0.4004E+01  0.2058E+01 -0.1101E+02 -0.1229E+02
  0.3688E+01  0.2821E+01 -0.4163E+01  0.2073E+01 -0.1125E+02 -0.1211E+02
  0.3490E+01  0.3030E+01 -0.4312E+01  0.2079E+01 -0.1145E+02 -0.1191E+02
  0.3315E+01  0.3252E+01 -0.4442E+01  0.2071E+01 -0.1161E+02 -0.1168E+02
  0.3224E+01  0.3520E+01 -0.4549E+01  0.2050E+01 -0.1171E+02 -0.1141E+02
  0.3171E+01  0.3802E+01 -0.4623E+01  0.2013E+01 -0.1176E+02 -0.1113E+02
  0.3190E+01  0.4103E+01 -0.4663E+01  0.1962E+01 -0.1174E+02 -0.1083E+02
  0.3270E+01  0.4412E+01 -0.4661E+01  0.1896E+01 -0.1166E+02 -0.1052E+02
  0.3408E+01  0.4727E+01 -0.4609E+01  0.1813E+01 -0.1152E+02 -0.1021E+02
